timestamp,ip,url,session_id,company_name,state,vertical,intent,sentiment,contact_match_in_crm,repeat_visits,total_pages_viewed,frequency_score,engagement_score
2025-05-01 21:33:00,8.8.8.8,/products/knowledge-hub,8888-8349,Acme Corp,CA,Financial Services,Knowledge Interest,Neutral,True,60,60,8.571428571428571,163.0
2025-06-13 16:16:00,8.8.8.8,/products/conversation-hub,8888-1472,Acme Corp,CA,Financial Services,Engagement Tools,Highly Interested,True,60,60,8.571428571428571,165.0
2025-04-03 06:24:00,8.8.8.8,/platform/api-docs,8888-6607,Acme Corp,CA,Financial Services,Technical Interest,Highly Interested,True,60,60,8.571428571428571,165.0
2025-07-02 11:53:00,8.8.8.8,/,8888-1937,Acme Corp,CA,Financial Services,General,Highly Interested,True,60,60,8.571428571428571,165.0
2025-07-29 16:40:00,8.8.8.8,/products/knowledge-hub,8888-3388,Acme Corp,CA,Financial Services,Knowledge Interest,Neutral,True,60,60,8.571428571428571,163.0
2025-05-13 13:30:00,8.8.8.8,/,8888-1265,Acme Corp,CA,Financial Services,General,Neutral,True,60,60,8.571428571428571,163.0
2025-03-23 11:20:00,8.8.8.8,/solutions/financial-services,8888-6015,Acme Corp,CA,Financial Services,Industry Intent,Interested,True,60,60,8.571428571428571,164.0
2025-02-09 06:34:00,8.8.8.8,/solutions/financial-services,8888-6683,Acme Corp,CA,Financial Services,Industry Intent,Highly Interested,True,60,60,8.571428571428571,165.0
2025-07-08 02:52:00,8.8.8.8,/contact,8888-7644,Acme Corp,CA,Financial Services,High Intent,Neutral,True,60,60,8.571428571428571,163.0
2025-07-29 16:28:00,8.8.8.8,/products/conversation-hub,8888-6155,Acme Corp,CA,Financial Services,Engagement Tools,Neutral,True,60,60,8.571428571428571,163.0
2025-05-24 02:30:00,8.8.8.8,/platform/api-docs,8888-6022,Acme Corp,CA,Financial Services,Technical Interest,Interested,True,60,60,8.571428571428571,164.0
2025-04-04 16:56:00,8.8.8.8,/platform/api-docs,8888-3623,Acme Corp,CA,Financial Services,Technical Interest,Neutral,True,60,60,8.571428571428571,163.0
2025-07-05 11:48:00,8.8.8.8,/products/conversation-hub,8888-6714,Acme Corp,CA,Financial Services,Engagement Tools,Highly Interested,True,60,60,8.571428571428571,165.0
2025-04-11 15:03:00,8.8.8.8,/blog/ai-in-customer-service,8888-4700,Acme Corp,CA,Financial Services,Thought Leadership,Neutral,True,60,60,8.571428571428571,163.0
2025-02-13 09:52:00,8.8.8.8,/contact,8888-4819,Acme Corp,CA,Financial Services,High Intent,Highly Interested,True,60,60,8.571428571428571,165.0
2025-06-02 07:30:00,8.8.8.8,/solutions/financial-services,8888-2503,Acme Corp,CA,Financial Services,Industry Intent,Highly Interested,True,60,60,8.571428571428571,165.0
2025-02-11 08:44:00,8.8.8.8,/contact,8888-1377,Acme Corp,CA,Financial Services,High Intent,Highly Interested,True,60,60,8.571428571428571,165.0
2025-06-06 04:35:00,8.8.8.8,/products/knowledge-hub,8888-5891,Acme Corp,CA,Financial Services,Knowledge Interest,Interested,True,60,60,8.571428571428571,164.0
2025-02-15 07:23:00,8.8.8.8,/,8888-5652,Acme Corp,CA,Financial Services,General,Interested,True,60,60,8.571428571428571,164.0
2025-02-04 05:25:00,8.8.8.8,/products/knowledge-hub,8888-4747,Acme Corp,CA,Financial Services,Knowledge Interest,Highly Interested,True,60,60,8.571428571428571,165.0
2025-03-15 13:14:00,8.8.8.8,/solutions/healthcare,8888-8869,Acme Corp,CA,Financial Services,Industry Intent,Neutral,True,60,60,8.571428571428571,163.0
2025-01-26 18:32:00,8.8.8.8,/contact,8888-9180,Acme Corp,CA,Financial Services,High Intent,Highly Interested,True,60,60,8.571428571428571,165.0
2025-01-02 15:06:00,8.8.8.8,/,8888-5479,Acme Corp,CA,Financial Services,General,Neutral,True,60,60,8.571428571428571,163.0
2025-05-13 12:07:00,8.8.8.8,/,8888-3230,Acme Corp,CA,Financial Services,General,Interested,True,60,60,8.571428571428571,164.0
2025-02-13 23:29:00,8.8.8.8,/products/conversation-hub,8888-1330,Acme Corp,CA,Financial Services,Engagement Tools,Highly Interested,True,60,60,8.571428571428571,165.0
2025-06-03 21:49:00,8.8.8.8,/,8888-3240,Acme Corp,CA,Financial Services,General,Interested,True,60,60,8.571428571428571,164.0
2025-03-13 06:02:00,8.8.8.8,/blog/ai-in-customer-service,8888-2582,Acme Corp,CA,Financial Services,Thought Leadership,Neutral,True,60,60,8.571428571428571,163.0
2025-06-06 10:41:00,8.8.8.8,/solutions/financial-services,8888-7966,Acme Corp,CA,Financial Services,Industry Intent,Highly Interested,True,60,60,8.571428571428571,165.0
2025-01-08 07:14:00,8.8.8.8,/,8888-5991,Acme Corp,CA,Financial Services,General,Highly Interested,True,60,60,8.571428571428571,165.0
2025-02-21 23:42:00,8.8.8.8,/contact,8888-7879,Acme Corp,CA,Financial Services,High Intent,Neutral,True,60,60,8.571428571428571,163.0
2025-02-04 01:31:00,8.8.8.8,/solutions/financial-services,8888-3249,Acme Corp,CA,Financial Services,Industry Intent,Neutral,True,60,60,8.571428571428571,163.0
2025-02-20 17:03:00,8.8.8.8,/solutions/financial-services,8888-1908,Acme Corp,CA,Financial Services,Industry Intent,Highly Interested,True,60,60,8.571428571428571,165.0
2025-02-18 15:26:00,8.8.8.8,/,8888-6032,Acme Corp,CA,Financial Services,General,Highly Interested,True,60,60,8.571428571428571,165.0
2025-06-10 03:25:00,8.8.8.8,/solutions/healthcare,8888-9891,Acme Corp,CA,Financial Services,Industry Intent,Interested,True,60,60,8.571428571428571,164.0
2025-06-15 19:27:00,8.8.8.8,/products/knowledge-hub,8888-2527,Acme Corp,CA,Financial Services,Knowledge Interest,Neutral,True,60,60,8.571428571428571,163.0
